房号,科目,账期,应收,减免,实收,状态
1-1-201,物业费,2025-08,183.27,0,0,未缴
1-1-201,物业费,2025-09,183.27,0,0,未缴
1-1-201,物业费,2025-10,183.27,0,0,未缴
1-1-201,物业费,2025-11,183.27,0,0,未缴
1-1-201,物业费,2025-12,183.27,0,0,未缴
1-1-201,物业费,2026-01,183.2700000000001,0,0,未缴
1-1-202,物业费,2025-08,183.75,0,0,未缴
1-1-202,物业费,2025-09,183.75,0,0,未缴
1-1-202,物业费,2025-10,183.75,0,0,未缴
1-1-202,物业费,2025-11,183.75,0,0,未缴
1-1-202,物业费,2025-12,183.75,0,0,未缴
1-1-202,物业费,2026-01,183.75,0,0,未缴
1-1-301,物业费,2025-08,184.68,0,0,未缴
1-1-301,物业费,2025-09,184.68,0,0,未缴
1-1-301,物业费,2025-10,184.68,0,0,未缴
1-1-301,物业费,2025-11,184.68,0,0,未缴
1-1-301,物业费,2025-12,184.68,0,0,未缴
1-1-301,物业费,2026-01,184.67999999999984,0,0,未缴
1-1-302,物业费,2025-08,185.17,0,0,未缴
1-1-302,物业费,2025-09,185.17,0,0,未缴
1-1-302,物业费,2025-10,185.17,0,0,未缴
1-1-302,物业费,2025-11,185.17,0,0,未缴
1-1-302,物业费,2025-12,185.17,0,0,未缴
1-1-302,物业费,2026-01,185.17000000000007,0,0,未缴
1-1-401,物业费,2025-08,186.1,0,0,未缴
1-1-401,物业费,2025-09,186.1,0,0,未缴
1-1-401,物业费,2025-10,186.1,0,0,未缴
1-1-401,物业费,2025-11,186.1,0,0,未缴
1-1-401,物业费,2025-12,186.1,0,0,未缴
1-1-401,物业费,2026-01,186.0999999999999,0,0,未缴
1-1-402,物业费,2025-08,186.59,0,0,未缴
1-1-402,物业费,2025-09,186.59,0,0,未缴
1-1-402,物业费,2025-10,186.59,0,0,未缴
1-1-402,物业费,2025-11,186.59,0,0,未缴
1-1-402,物业费,2025-12,186.59,0,0,未缴
1-1-402,物业费,2026-01,186.58999999999992,0,0,未缴
1-1-501,物业费,2025-08,187.52,0,0,未缴
1-1-501,物业费,2025-09,187.52,0,0,未缴
1-1-501,物业费,2025-10,187.52,0,0,未缴
1-1-501,物业费,2025-11,187.52,0,0,未缴
1-1-501,物业费,2025-12,187.52,0,0,未缴
1-1-501,物业费,2026-01,187.5200000000001,0,0,未缴
1-1-502,物业费,2025-08,188.01,0,0,未缴
1-1-502,物业费,2025-09,188.01,0,0,未缴
1-1-502,物业费,2025-10,188.01,0,0,未缴
1-1-502,物业费,2025-11,188.01,0,0,未缴
1-1-502,物业费,2025-12,188.01,0,0,未缴
1-1-502,物业费,2026-01,188.01,0,0,未缴
1-1-601,物业费,2025-08,188.93,0,0,未缴
1-1-601,物业费,2025-09,188.93,0,0,未缴
1-1-601,物业费,2025-10,188.93,0,0,未缴
1-1-601,物业费,2025-11,188.93,0,0,未缴
1-1-601,物业费,2025-12,188.93,0,0,未缴
1-1-601,物业费,2026-01,188.92999999999984,0,0,未缴
1-1-602,物业费,2025-08,189.43,0,0,未缴
1-1-602,物业费,2025-09,189.43,0,0,未缴
1-1-602,物业费,2025-10,189.43,0,0,未缴
1-1-602,物业费,2025-11,189.43,0,0,未缴
1-1-602,物业费,2025-12,189.43,0,0,未缴
1-1-602,物业费,2026-01,189.42999999999984,0,0,未缴
1-1-701,物业费,2025-08,190.35,0,0,未缴
1-1-701,物业费,2025-09,190.35,0,0,未缴
1-1-701,物业费,2025-10,190.35,0,0,未缴
1-1-701,物业费,2025-11,190.35,0,0,未缴
1-1-701,物业费,2025-12,190.35,0,0,未缴
1-1-701,物业费,2026-01,190.3499999999999,0,0,未缴
1-1-702,物业费,2025-08,190.85,0,0,未缴
1-1-702,物业费,2025-09,190.85,0,0,未缴
1-1-702,物业费,2025-10,190.85,0,0,未缴
1-1-702,物业费,2025-11,190.85,0,0,未缴
1-1-702,物业费,2025-12,190.85,0,0,未缴
1-1-702,物业费,2026-01,190.8499999999999,0,0,未缴
1-1-801,物业费,2025-08,191.77,0,0,未缴
1-1-801,物业费,2025-09,191.77,0,0,未缴
1-1-801,物业费,2025-10,191.77,0,0,未缴
1-1-801,物业费,2025-11,191.77,0,0,未缴
1-1-801,物业费,2025-12,191.77,0,0,未缴
1-1-801,物业费,2026-01,191.7700000000001,0,0,未缴
1-1-802,物业费,2025-08,192.27,0,0,未缴
1-1-802,物业费,2025-09,192.27,0,0,未缴
1-1-802,物业费,2025-10,192.27,0,0,未缴
1-1-802,物业费,2025-11,192.27,0,0,未缴
1-1-802,物业费,2025-12,192.27,0,0,未缴
1-1-802,物业费,2026-01,192.2700000000001,0,0,未缴
1-1-901,物业费,2025-08,193.19,0,0,未缴
1-1-901,物业费,2025-09,193.19,0,0,未缴
1-1-901,物业费,2025-10,193.19,0,0,未缴
1-1-901,物业费,2025-11,193.19,0,0,未缴
1-1-901,物业费,2025-12,193.19,0,0,未缴
1-1-901,物业费,2026-01,193.18999999999983,0,0,未缴
1-1-902,物业费,2025-08,193.7,0,0,未缴
1-1-902,物业费,2025-09,193.7,0,0,未缴
1-1-902,物业费,2025-10,193.7,0,0,未缴
1-1-902,物业费,2025-11,193.7,0,0,未缴
1-1-902,物业费,2025-12,193.7,0,0,未缴
1-1-902,物业费,2026-01,193.69999999999982,0,0,未缴
1-1-1001,物业费,2025-08,194.6,0,0,未缴
1-1-1001,物业费,2025-09,194.6,0,0,未缴
1-1-1001,物业费,2025-10,194.6,0,0,未缴
1-1-1001,物业费,2025-11,194.6,0,0,未缴
1-1-1001,物业费,2025-12,194.6,0,0,未缴
1-1-1001,物业费,2026-01,194.5999999999999,0,0,未缴
8-302,物业费,2026-01,150.0,0,0,未缴
